AT1G09850 XBCP3
AT3G10500 NAC053
AT2G30280 RDM4
AT4G29800 PLP8
AT3G57390 AGL18
AT2G32660 RLP22
AT1G45616 RLP6
AT2G29680 CDC6
AT2G30130 ASL5
AT1G78080 RAP2.4
AT2G42830 SHP2
AT3G18730 TSK
AT1G70700 TIFY7
AT1G33990 MES14
AT3G28917 MIF2
AT2G38700 MVD1
AT3G28910 MYB30
AT2G18280 TLP2
AT2G31660 SAD2
AT1G22450 COX6B
AT4G00970 CRK41
AT2G47920 NET3C
AT1G68550 CRF10
AT3G07020 SGT
AT5G66100 LARP1b
AT2G44745 WRKY12
AT2G41510 CKX1
AT2G44740 CYCP4;1
AT1G33730 CYP76C5
AT1G68560 XYL1
AT4G23060 IQD22
AT1G77860 KOM
AT2G19620 NDL3
AT3G08690 UBC11
AT2G03680 SPR1
AT4G29470 PLA2-DELTA
AT1G64790 ILA
AT1G62560 FMO GS-OX3
AT4G22330 ATCES1
AT2G02220 PSKR1
AT3G05310 MIRO3
AT1G31330 PSAF
AT5G44340 TUB4
AT5G55240 ATPXG2
AT5G13190 GILP
AT4G03520 ATHM2
AT2G36390 SBE2.1
AT2G05940 RIPK
AT1G65113 SCRL2
AT3G20500 PAP18
AT2G40475 ASG8
AT5G37510 EMB1467
AT1G60540 DRP4B
AT2G43820 UGT74F2
AT3G17300 EMB2786
AT5G49190 SUS2
AT1G19150 Lhca6
AT4G01160 LRB3
AT1G66230 MYB20
AT4G02235 AGL51
AT5G04150 BHLH101
AT4G15380 CYP705A4
AT2G20160 MEO
AT1G53830 PME2
AT5G15090 VDAC3
AT5G14320 EMB3137
AT1G17880 BTF3
AT2G34900 IMB1
AT1G03360 RRP4
AT1G79930 HSP91
AT1G33400 TPR9
AT4G11260 SGT1B
AT5G47100 CBL9
AT3G22830 HSFA6B
AT1G12900 GAPA-2
AT1G17260 AHA10
AT3G49940 LBD38
AT3G51895 SULTR3;1
AT1G80460 NHO1
AT4G16120 COBL7
AT2G27300 NTL8
AT1G55860 UPL1
AT4G26150 CGA1
AT3G27940 LBD26
AT2G24640 UBP19
AT5G65060 MAF3
AT3G15790 MBD11
AT1G12013 SNOR111
AT3G13438 SADHU7-1
AT2G45480 GRF9
AT5G02120 OHP
AT2G34420 LHB1B2
AT1G16390 OCT3
AT5G62040 BFT
AT2G34390 NIP2;1
AT3G13290 VCR
AT4G14710 ATARD2
AT4G14713 PPD1
AT4G14716 ARD1
AT3G12740 ALIS1
AT1G20710 WOX10
AT1G74660 MIF1
AT2G31060 EMB2785
AT4G25540 MSH3
AT3G57190 PrfB3
AT1G52760 LysoPL2
AT5G09930 ABCF2
AT3G55980 SZF1
AT4G36410 UBC17
AT4G26930 MYB97
AT5G63715 MIR166g
AT2G23470 RUS4
AT3G02980 MCC1
AT3G03050 CSLD3
AT4G23260 CRK18
AT1G08730 XIC
AT1G43190 PTB3
AT4G16820 PLA-I{beta]2
AT5G50850 MAB1
AT3G56980 bHLH39
AT1G44350 ILL6
AT1G01600 CYP86A4
AT1G58260 CYP79C2
AT2G46505 SDH4
AT2G46500 PI4K GAMMA 4
AT5G48485 DIR1
AT5G44100 ckl7
AT5G64070 PI-4KBETA1
AT1G03600 PSB27
AT4G28850 XTH26
AT5G55730 FLA1
AT1G09950 RAS1
AT5G51020 CRL
AT2G36800 DOGT1
AT4G32880 HB-8
AT1G30370 DLAH
AT4G04330 RbcX1
AT1G06920 OFP4
AT1G24460 TNO1
AT1G75270 DHAR2
AT3G28890 RLP43
AT5G57850 ADCL
AT2G30070 KT1
AT5G50080 ERF110
AT5G15250 FTSH6
AT2G37860 LCD1
AT1G62340 ALE1
AT2G04560 LpxB
AT5G53190 SWEET3
AT1G27460 NPGR1
AT1G32330 HSFA1D
AT2G41230 ORS1
AT3G02040 SRG3
AT4G00540 MYB3R2
AT1G17060 CYP72C1
AT5G35630 GS2
AT1G18220 PUP9
AT5G43360 PHT1;3
AT5G39930 CLPS5
AT2G36020 HVA22J
AT1G77120 ADH1
AT4G09140 MLH1
AT4G36990 HSF4
AT5G10330 HPA1
AT3G47700 MAG2
AT2G44460 BGLU28
AT2G40540 KT2
AT1G31812 ACBP6
AT1G31810 AFH14
AT1G31817 NFD3
AT1G31814 FRL2
AT2G03340 WRKY3
AT1G12780 UGE1
AT4G02570 CUL1
AT5G16190 CSLA11
AT1G64160 DIR5
AT5G13010 EMB3011
AT4G38160 pde191
AT4G37800 XTH7
AT1G59990 EMB3108
AT2G22970 SCPL11
AT3G61440 CYSC1
AT3G21550 DMP2
AT1G11250 SYP125
AT1G15570 CYCA2;3
AT4G01080 TBL26
AT5G37720 ALY4
AT3G17510 CIPK1
AT3G61990 OMTF3
AT5G07880 SNAP29
AT5G18100 CSD3
AT5G24630 BIN4
AT3G55210 NAC063
AT1G18670 IBS1
AT4G18390 TCP2
AT2G21400 SRS3
AT1G67730 KCR1
AT3G16640 TCTP
AT5G08530 CI51
AT4G24960 HVA22D
AT4G18640 MRH1
AT5G19855 RbcX2
AT3G11910 UBP13
AT5G40950 RPL27
AT3G22110 PAC1
AT4G00060 MEE44
AT1G66280 BGLU22
AT3G48930 EMB1080
AT2G23310 ATRER1C1
AT3G49040 AT3G49045
AT3G23790 AAE16
AT2G17820 HK1
AT3G15340 PPI2
AT1G03445 BSU1
AT1G54210 ATG12A
AT2G15080 RLP19
AT4G27430 CIP7
AT4G16590 CSLA01
AT5G41600 BTI3
AT3G51460 RHD4
AT2G22190 TPPE
AT4G17640 CKB2
AT4G25360 TBL18
AT1G63710 CYP86A7
AT1G03190 UVH6
AT4G12030 BAT5
AT3G26310 CYP71B35
AT3G24220 NCED6
AT3G24225 CLE19
AT3G03200 NAC045
AT2G27110 FRS3
AT4G28520 CRU3
AT1G54960 NP2
AT2G33740 CUTA
AT1G80160 GLYI7
AT5G62940 HCA2
AT4G13340 LRX3
AT4G13345 MEE55
AT1G07630 PLL5
AT4G14690 ELIP2
AT3G06300 P4H2
AT4G21120 AAT1
AT4G24180 TLP1
AT4G12960 GILT
AT2G26990 FUS12
AT1G68870 SOFL2
AT3G52880 MDAR1
AT5G58070 TIL
AT1G21700 SWI3C
AT3G12530 PSF2
AT1G74030 ENO1
AT3G19700 IKU2
AT2G30500 NET4B
AT2G31450 ATNTH1
AT2G32900 ATZW10
AT3G48580 XTH11
AT4G31770 DBR1
AT3G48057 MIR843
AT3G48050 SUO
AT1G43780 scpl44
AT3G44910 CHX12
AT4G23180 CRK10
AT3G24495 MSH7
AT1G58380 XW6
AT2G36100 CASP1
AT1G02450 NIMIN1
AT1G12420 ACR8
AT1G55600 WRKY10
AT1G75850 VPS35B
AT2G47060 PTI1-4
AT4G02770 PSAD-1
AT2G46330 AGP16
AT3G20040 ATHXK4
AT4G32450 MEF8S
