ABCC6	HP:0000006;HP:0000007;HP:0000121;HP:0000218;HP:0000381;HP:0000410;HP:0000474;HP:0000488;HP:0000505;HP:0000545;HP:0000573;HP:0000592;HP:0000608;HP:0000630;HP:0000737;HP:0000765;HP:0000766;HP:0000821;HP:0000822;HP:0000961;HP:0000973;HP:0000974;HP:0000978;HP:0000988;HP:0000989;HP:0001012;HP:0001061;HP:0001065;HP:0001102;HP:0001250;HP:0001297;HP:0001342;HP:0001384;HP:0001482;HP:0001531;HP:0001541;HP:0001561;HP:0001634;HP:0001635;HP:0001640;HP:0001645;HP:0001658;HP:0001677;HP:0001681;HP:0001698;HP:0001714;HP:0001717;HP:0001718;HP:0001723;HP:0001789;HP:0001872;HP:0001945;HP:0002013;HP:0002092;HP:0002098;HP:0002172;HP:0002239;HP:0002326;HP:0002514;HP:0002617;HP:0002621;HP:0002634;HP:0002647;HP:0002650;HP:0002705;HP:0002749;HP:0002808;HP:0002815;HP:0002829;HP:0002949;HP:0003109;HP:0003836;HP:0003941;HP:0004306;HP:0004374;HP:0004417;HP:0004912;HP:0004943;HP:0004963;HP:0004966;HP:0005103;HP:0005213;HP:0005297;HP:0005462;HP:0005692;HP:0006559;HP:0006690;HP:0007392;HP:0007663;HP:0009164;HP:0010512;HP:0010639;HP:0011344;HP:0011506;HP:0011968;HP:0012408;HP:0012409;HP:0012426;HP:0012457;HP:0012508;HP:0025115;HP:0025116;HP:0025169;HP:0025477;HP:0025507;HP:0025533;HP:0032553;HP:0033026;HP:0033027;HP:0040197;HP:0045051;HP:0100545;HP:0100585;HP:0100659;HP:0100758;HP:0100817;HP:0200067
ABCC8	HP:0000006;HP:0000007;HP:0000077;HP:0000107;HP:0000112;HP:0000124;HP:0000158;HP:0000252;HP:0000343;HP:0000365;HP:0000463;HP:0000486;HP:0000488;HP:0000713;HP:0000737;HP:0000821;HP:0000825;HP:0000855;HP:0000857;HP:0000975;HP:0000980;HP:0001249;HP:0001250;HP:0001251;HP:0001252;HP:0001254;HP:0001257;HP:0001259;HP:0001263;HP:0001270;HP:0001290;HP:0001324;HP:0001325;HP:0001347;HP:0001425;HP:0001488;HP:0001508;HP:0001511;HP:0001513;HP:0001518;HP:0001520;HP:0001537;HP:0001627;HP:0001649;HP:0001738;HP:0001824;HP:0001943;HP:0001944;HP:0001953;HP:0001985;HP:0001998;HP:0002013;HP:0002014;HP:0002069;HP:0002123;HP:0002173;HP:0002186;HP:0002240;HP:0002305;HP:0002329;HP:0002344;HP:0002521;HP:0002594;HP:0002714;HP:0002804;HP:0002919;HP:0003074;HP:0003076;HP:0003196;HP:0003477;HP:0003584;HP:0003698;HP:0004359;HP:0004510;HP:0004904;HP:0004924;HP:0005487;HP:0005750;HP:0005978;HP:0006274;HP:0008163;HP:0008240;HP:0008255;HP:0008936;HP:0009800;HP:0009830;HP:0009894;HP:0010864;HP:0011106;HP:0011182;HP:0011342;HP:0012028;HP:0012434;HP:0012594;HP:0012658;HP:0012758;HP:0025502;HP:0030794;HP:0031819;HP:0040025;HP:0040064;HP:0040216;HP:0040217;HP:0100503;HP:0100651
ABCC9	HP:0000006;HP:0000154;HP:0000158;HP:0000179;HP:0000212;HP:0000215;HP:0000221;HP:0000232;HP:0000256;HP:0000280;HP:0000286;HP:0000294;HP:0000316;HP:0000336;HP:0000340;HP:0000343;HP:0000347;HP:0000407;HP:0000414;HP:0000431;HP:0000463;HP:0000470;HP:0000527;HP:0000574;HP:0000581;HP:0000664;HP:0000774;HP:0000885;HP:0000926;HP:0000939;HP:0000944;HP:0000982;HP:0001004;HP:0001072;HP:0001155;HP:0001163;HP:0001176;HP:0001182;HP:0001249;HP:0001250;HP:0001256;HP:0001279;HP:0001520;HP:0001537;HP:0001639;HP:0001640;HP:0001643;HP:0001644;HP:0001647;HP:0001654;HP:0001663;HP:0001695;HP:0001698;HP:0001869;HP:0001874;HP:0002162;HP:0002230;HP:0002553;HP:0002652;HP:0002673;HP:0002690;HP:0002750;HP:0003016;HP:0003189;HP:0003198;HP:0003236;HP:0003300;HP:0003457;HP:0004493;HP:0004540;HP:0004634;HP:0004751;HP:0004755;HP:0004756;HP:0004757;HP:0004975;HP:0005129;HP:0005280;HP:0005445;HP:0005616;HP:0005692;HP:0006101;HP:0006670;HP:0007665;HP:0008822;HP:0009882;HP:0009928;HP:0010055;HP:0010059;HP:0010068;HP:0010109;HP:0010285;HP:0011220;HP:0011704;HP:0011705;HP:0011712;HP:0011715;HP:0012251;HP:0012471;HP:0100540;HP:0100578
ABCD1	HP:0000020;HP:0000026;HP:0000135;HP:0000317;HP:0000365;HP:0000572;HP:0000618;HP:0000657;HP:0000709;HP:0000726;HP:0000736;HP:0000752;HP:0000802;HP:0000953;HP:0001250;HP:0001258;HP:0001260;HP:0001268;HP:0001269;HP:0001271;HP:0001283;HP:0001285;HP:0001289;HP:0001310;HP:0001350;HP:0001419;HP:0001596;HP:0002015;HP:0002061;HP:0002070;HP:0002078;HP:0002180;HP:0002196;HP:0002283;HP:0002311;HP:0002354;HP:0002355;HP:0002371;HP:0002385;HP:0002500;HP:0002518;HP:0002540;HP:0002607;HP:0002839;HP:0003089;HP:0003455;HP:0003477;HP:0003676;HP:0004359;HP:0006938;HP:0007018;HP:0007034;HP:0007141;HP:0007162;HP:0007340;HP:0008163;HP:0008167;HP:0008207;HP:0010527;HP:0010794;HP:0011448;HP:0012501;HP:0030222;HP:0031358;HP:0031993;HP:0040288;HP:0045084
ABCD3	HP:0000007;HP:0000952;HP:0001395;HP:0001399;HP:0001744;HP:0001891;HP:0002240;HP:0002910;HP:0003593;HP:0003676
ABCD4	HP:0000007;HP:0000023;HP:0000028;HP:0000316;HP:0000347;HP:0001254;HP:0001263;HP:0001290;HP:0001510;HP:0001631;HP:0001680;HP:0001873;HP:0001875;HP:0001903;HP:0002020;HP:0002059;HP:0002092;HP:0002156;HP:0002160;HP:0002533;HP:0002789;HP:0002912;HP:0003145;HP:0003223;HP:0003524;HP:0003577;HP:0006610;HP:0011968;HP:0012120
ABCG5	HP:0000007;HP:0000799;HP:0000822;HP:0001138;HP:0001397;HP:0001645;HP:0001653;HP:0001658;HP:0001681;HP:0001920;HP:0002094;HP:0002829;HP:0003077;HP:0003124;HP:0003141;HP:0004381;HP:0004416;HP:0004950;HP:0004963;HP:0005162;HP:0005177;HP:0005181;HP:0006693;HP:0007201;HP:0010874;HP:0012373;HP:0012397;HP:0012638;HP:0030148;HP:0030882;HP:0033341;HP:3000062
ABCG8	HP:0000007;HP:0000799;HP:0000822;HP:0001081;HP:0001138;HP:0001369;HP:0001392;HP:0001397;HP:0001645;HP:0001653;HP:0001658;HP:0001677;HP:0001681;HP:0001744;HP:0001892;HP:0001902;HP:0001920;HP:0001923;HP:0002027;HP:0002094;HP:0002829;HP:0003077;HP:0003124;HP:0003141;HP:0003540;HP:0004381;HP:0004416;HP:0004446;HP:0004802;HP:0004870;HP:0004950;HP:0004963;HP:0005162;HP:0005177;HP:0005181;HP:0006693;HP:0007201;HP:0008158;HP:0010874;HP:0010982;HP:0012373;HP:0012397;HP:0012638;HP:0030148;HP:0030882;HP:0031290;HP:0033341;HP:3000062
ABHD12	HP:0000007;HP:0000407;HP:0000510;HP:0000523;HP:0000639;HP:0000648;HP:0000762;HP:0001251;HP:0001257;HP:0001260;HP:0001265;HP:0001271;HP:0001272;HP:0001310;HP:0001347;HP:0001761;HP:0001771;HP:0002080;HP:0002936;HP:0003487;HP:0003674;HP:0003677;HP:0003693;HP:0007141
ABHD5	HP:0000007;HP:0000232;HP:0000385;HP:0000407;HP:0000486;HP:0000508;HP:0000523;HP:0000639;HP:0000656;HP:0001249;HP:0001251;HP:0001263;HP:0001284;HP:0001324;HP:0001397;HP:0001413;HP:0001596;HP:0001638;HP:0001871;HP:0001911;HP:0002155;HP:0002240;HP:0002355;HP:0002910;HP:0002922;HP:0003198;HP:0003458;HP:0003547;HP:0004322;HP:0007009;HP:0007479;HP:0008551;HP:0009073;HP:0012240;HP:0012472;HP:0040081
ABL1	HP:0000006;HP:0000028;HP:0000047;HP:0000218;HP:0000307;HP:0000331;HP:0000337;HP:0000460;HP:0000490;HP:0000670;HP:0000678;HP:0000767;HP:0000776;HP:0000963;HP:0000965;HP:0000977;HP:0001166;HP:0001263;HP:0001428;HP:0001508;HP:0001511;HP:0001629;HP:0001631;HP:0001680;HP:0001744;HP:0001763;HP:0001873;HP:0001894;HP:0001912;HP:0001945;HP:0001974;HP:0002010;HP:0002019;HP:0002023;HP:0002107;HP:0002566;HP:0002650;HP:0003189;HP:0003196;HP:0004322;HP:0004396;HP:0004848;HP:0004852;HP:0005506;HP:0005547;HP:0012378;HP:0012385;HP:0040019
ACACA	HP:0000007;HP:0001290;HP:0001510;HP:0003198
ACAD8	HP:0000007;HP:0000750;HP:0001252;HP:0001642;HP:0001644;HP:0001903;HP:0001944;HP:0002013;HP:0003215;HP:0003234;HP:0011342;HP:0012734;HP:0045045
ACAD9	HP:0000007;HP:0001290;HP:0001297;HP:0001298;HP:0001324;HP:0001397;HP:0001399;HP:0001414;HP:0001508;HP:0001635;HP:0001639;HP:0001644;HP:0001645;HP:0001873;HP:0001943;HP:0001958;HP:0001987;HP:0002151;HP:0002181;HP:0002910;HP:0003128;HP:0003215;HP:0003234;HP:0003324;HP:0003326;HP:0003458;HP:0003473;HP:0003546;HP:0006554;HP:0008151;HP:0008331;HP:0011695;HP:0011923;HP:0025435;HP:0045045
ACADM	HP:0000007;HP:0000256;HP:0000750;HP:0001250;HP:0001251;HP:0001252;HP:0001254;HP:0001259;HP:0001263;HP:0001290;HP:0001315;HP:0001397;HP:0001410;HP:0001640;HP:0001942;HP:0001943;HP:0001946;HP:0001987;HP:0002013;HP:0002014;HP:0002069;HP:0002181;HP:0002240;HP:0002373;HP:0002875;HP:0002910;HP:0003108;HP:0003198;HP:0003202;HP:0003215;HP:0003234;HP:0003236;HP:0003394;HP:0003701;HP:0003738;HP:0004326;HP:0005684;HP:0007185;HP:0008309;HP:0011675;HP:0011936;HP:0012378;HP:0030199;HP:0040155;HP:0045040
ACADS	HP:0000007;HP:0000252;HP:0000590;HP:0000648;HP:0000708;HP:0000709;HP:0000750;HP:0001250;HP:0001252;HP:0001254;HP:0001263;HP:0001276;HP:0001290;HP:0001332;HP:0001371;HP:0001397;HP:0001508;HP:0001511;HP:0001638;HP:0001942;HP:0001999;HP:0002098;HP:0002500;HP:0002650;HP:0003198;HP:0003219;HP:0003623;HP:0004911;HP:0006929;HP:0008872;HP:0008947;HP:0010628;HP:0011968;HP:0012734;HP:0045045;HP:0410153
ACADSB	HP:0000007;HP:0000252;HP:0000577;HP:0001250;HP:0001252;HP:0001254;HP:0001263;HP:0001270;HP:0001290;HP:0001943;HP:0002045;HP:0003593;HP:0003700;HP:0005949
ACADVL	HP:0000007;HP:0000256;HP:0000952;HP:0001252;HP:0001254;HP:0001290;HP:0001324;HP:0001397;HP:0001404;HP:0001513;HP:0001518;HP:0001545;HP:0001629;HP:0001639;HP:0001644;HP:0001645;HP:0001655;HP:0001657;HP:0001663;HP:0001678;HP:0001698;HP:0001942;HP:0001958;HP:0001985;HP:0001987;HP:0002013;HP:0002045;HP:0002090;HP:0002098;HP:0002240;HP:0002280;HP:0002789;HP:0002876;HP:0002901;HP:0002910;HP:0003075;HP:0003215;HP:0003234;HP:0003236;HP:0003394;HP:0003552;HP:0003738;HP:0004756;HP:0008305;HP:0008947;HP:0009045;HP:0011123;HP:0011968;HP:0012531;HP:0025502;HP:0030781
